text_id,family,z_score,n_tokens
31,unbiased,1.1952283236201762,70
32,kgw,0.6108470725278312,67
32,unbiased,0.6108470725278312,67
33,kgw,0.5163976461610233,60
33,unbiased,-0.5163976461610233,60
34,kgw,-0.13483993612902184,55
34,unbiased,1.2135594251611967,55
35,kgw,1.2909941154025584,60
35,unbiased,0.2581988230805117,60
36,kgw,-0.24999993750001562,64
36,unbiased,-0.24999993750001562,64
37,kgw,-1.4084053186062104,61
37,unbiased,0.8962579300221338,61
38,kgw,-1.5756767805236758,58
38,unbiased,0.26261279675394594,58
39,kgw,0.277350021189559,52
39,unbiased,0.0,52
40,kgw,0.8017835114516161,56
40,unbiased,1.0690446819354882,56
41,kgw,-1.4320776479078037,59
41,unbiased,0.39056663124758284,59
42,kgw,-0.2581988230805117,60
42,unbiased,1.0327952923220467,60
43,kgw,-1.5240011369056101,62
43,unbiased,0.5080003789685367,62
44,kgw,-0.26261279675394594,58
44,unbiased,-2.1009023740315675,58
45,kgw,1.9798984273224913,50
45,unbiased,1.1313705298985666,50
46,kgw,-1.1338931333134679,63
46,unbiased,2.3937743925506543,63
47,kgw,0.0,50
47,unbiased,0.5656852649492833,50
48,kgw,-0.4045198083870656,55
48,unbiased,0.4045198083870656,55
49,kgw,1.3438635595612287,67
49,unbiased,1.0995247305500961,67
50,kgw,-1.236244735915653,53
50,unbiased,0.6868026310642517,53
51,kgw,0.4803843075691568,39
51,unbiased,1.4411529227074704,39
52,kgw,1.264910664067478,40
52,unbiased,-2.529821328134956,40
53,kgw,-1.0434980783888834,45
53,unbiased,-0.14907115405555477,45
54,kgw,-0.6741996806451093,55
54,unbiased,1.4832392974192403,55
55,kgw,1.7218916080443267,57
55,unbiased,1.9867980092819155,57
56,kgw,1.4569852068067382,57
56,unbiased,0.39735960185638314,57
57,kgw,0.8846514760598945,46
57,unbiased,0.0,46
58,kgw,-0.5252255935078919,58
58,unbiased,-0.26261279675394594,58
59,kgw,1.5240011369056101,62
59,unbiased,0.0,62
60,kgw,0.32539561613976425,85
60,unbiased,2.27776931297835,85
61,kgw,-0.3418816514568537,77
61,unbiased,0.5698027524280894,77
62,kgw,0.22360674774999012,80
62,unbiased,-0.6708202432499704,80
63,kgw,1.7457427409356412,84
63,unbiased,1.0910892130847758,84
64,kgw,0.43133099979051787,86
64,unbiased,-0.43133099979051787,86
65,kgw,-3.2627541785084193,79
65,unbiased,0.11250876477615239,79
66,kgw,1.9629904619114986,75
66,unbiased,0.3464100815137939,75
67,kgw,0.6324553987003706,90
67,unbiased,-0.8432738649338275,90
68,kgw,0.20628420669857594,94
68,unbiased,0.8251368267943038,94
69,kgw,1.1180337387499506,80
69,unbiased,0.22360674774999012,80
70,kgw,0.24618292135261977,66
70,unbiased,0.49236584270523953,66
71,kgw,0.9058214221875178,78
71,unbiased,-1.3587321332812767,78
72,kgw,0.4082482071305467,96
72,unbiased,0.4082482071305467,96
73,kgw,-0.8728713704678206,84
73,unbiased,-0.6546535278508655,84
74,kgw,-1.6269780806988214,85
74,unbiased,-0.5423260268996071,85
75,kgw,-2.649994138218266,89
75,unbiased,-1.3779969518734985,89
76,kgw,-0.3144853850825234,91
76,unbiased,1.362770002024268,91
77,kgw,-0.9999997777778271,81
77,unbiased,0.3333332592592757,81
78,kgw,-1.4444441234568615,81
78,unbiased,-1.2222219506173442,81
79,kgw,-0.1097642358933101,83
79,unbiased,0.5488211794665504,83
80,kgw,-0.5773501358563231,75
80,unbiased,0.5773501358563231,75
81,kgw,-0.6974856703007912,74
81,unbiased,-0.46499044686719415,74
82,kgw,0.43133099979051787,86
82,unbiased,-0.21566549989525893,86
83,kgw,0.4529107110937589,78
83,unbiased,0.0,78
84,kgw,-1.1043150168460802,82
84,unbiased,0.0,82
85,kgw,0.3418816514568537,77
85,unbiased,0.3418816514568537,77
86,kgw,1.5011103532264403,75
86,unbiased,0.11547002717126463,75
87,kgw,-2.5927242532397075,72
87,unbiased,-1.6499154338798137,72
88,kgw,0.4529107110937589,78
88,unbiased,3.170374977656312,78
89,kgw,1.4444441234568615,81
89,unbiased,-0.11111108641975857,81
90,kgw,0.10721123049527866,87
90,unbiased,-0.5360561524763933,87
91,kgw,-0.8728713704678206,84
91,unbiased,-0.6546535278508655,84
92,kgw,0.10721123049527866,87
92,unbiased,1.60816845742918,87
93,kgw,-0.22941568123899486,76
