method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
kgw_d2.5,deletion,0.5,13,-0.3162276660168695,40
kgw_d2.5,synonym,0.0,13,6.4845956847497135,80
kgw_d2.5,synonym,0.1,13,5.590168693749753,80
kgw_d2.5,synonym,0.2,13,3.1304944684998617,80
kgw_d2.5,synonym,0.3,13,3.801314711749832,80
kgw_d2.5,deletion,0.0,14,6.1879820626883815,79
kgw_d2.5,deletion,0.1,14,5.6568529161593615,72
kgw_d2.5,deletion,0.2,14,4.499998875000281,64
kgw_d2.5,deletion,0.3,14,5.082339469875462,53
kgw_d2.5,deletion,0.4,14,0.632455332033739,40
kgw_d2.5,deletion,0.5,14,0.632455332033739,40
kgw_d2.5,synonym,0.0,14,6.037382189249733,80
kgw_d2.5,synonym,0.1,14,5.813775441499743,80
kgw_d2.5,synonym,0.2,14,3.1304944684998617,80
kgw_d2.5,synonym,0.3,14,3.801314711749832,80
kgw_d2.5,deletion,0.0,15,6.412999592240686,79
kgw_d2.5,deletion,0.1,15,5.6568529161593615,72
kgw_d2.5,deletion,0.2,15,4.749998812500297,64
kgw_d2.5,deletion,0.3,15,2.060407893192755,53
kgw_d2.5,deletion,0.4,15,0.3162276660168695,40
kgw_d2.5,deletion,0.5,15,0.3162276660168695,40
kgw_d2.5,synonym,0.0,15,6.260988936999723,80
kgw_d2.5,synonym,0.1,15,4.472134954999802,80
kgw_d2.5,synonym,0.2,15,4.472134954999802,80
kgw_d2.5,synonym,0.3,15,3.354101216249852,80
kgw_d2.5,deletion,0.0,16,6.638017121792991,79
kgw_d2.5,deletion,0.1,16,5.421150711319388,72
kgw_d2.5,deletion,0.2,16,3.99999900000025,64
kgw_d2.5,deletion,0.3,16,2.6098499980441563,53
kgw_d2.5,deletion,0.4,16,-3.162276660168695,40
kgw_d2.5,deletion,0.5,16,-3.162276660168695,40
kgw_d2.5,synonym,0.0,16,6.4845956847497135,80
kgw_d2.5,synonym,0.1,16,5.366561945999763,80
kgw_d2.5,synonym,0.2,16,4.472134954999802,80
kgw_d2.5,synonym,0.3,16,3.801314711749832,80
kgw_d2.5,deletion,0.0,17,4.612859355822248,79
kgw_d2.5,deletion,0.1,17,4.006937482279548,72
kgw_d2.5,deletion,0.2,17,2.499999375000156,64
kgw_d2.5,deletion,0.3,17,1.5109657883413536,53
kgw_d2.5,deletion,0.4,17,0.3162276660168695,40
kgw_d2.5,deletion,0.5,17,0.3162276660168695,40
kgw_d2.5,synonym,0.0,17,4.248528207249812,80
kgw_d2.5,synonym,0.1,17,2.9068877207498716,80
kgw_d2.5,synonym,0.2,17,3.354101216249852,80
kgw_d2.5,synonym,0.3,17,3.801314711749832,80
kgw_d2.5,deletion,0.0,18,5.737947003583772,79
kgw_d2.5,deletion,0.1,18,4.242639687119521,72
kgw_d2.5,deletion,0.2,18,3.749999062500234,64
kgw_d2.5,deletion,0.3,18,1.5109657883413536,53
kgw_d2.5,deletion,0.4,18,-1.5811383300843476,40
kgw_d2.5,deletion,0.5,18,-1.5811383300843476,40
kgw_d2.5,synonym,0.0,18,6.260988936999723,80
kgw_d2.5,synonym,0.1,18,5.142955198249773,80
kgw_d2.5,synonym,0.2,18,3.1304944684998617,80
kgw_d2.5,synonym,0.3,18,4.248528207249812,80
kgw_d2.5,deletion,0.0,19,6.412999592240686,79
kgw_d2.5,deletion,0.1,19,5.421150711319388,72
kgw_d2.5,deletion,0.2,19,3.749999062500234,64
kgw_d2.5,deletion,0.3,19,2.060407893192755,53
kgw_d2.5,deletion,0.4,19,0.3162276660168695,40
kgw_d2.5,deletion,0.5,19,0.3162276660168695,40
kgw_d2.5,synonym,0.0,19,6.4845956847497135,80
kgw_d2.5,synonym,0.1,19,4.919348450499783,80
kgw_d2.5,synonym,0.2,19,3.801314711749832,80
kgw_d2.5,synonym,0.3,19,2.4596742252498913,80
kgw_d1.5,deletion,0.0,0,3.7127892376130287,79
kgw_d1.5,deletion,0.1,0,2.8284264580796807,72
kgw_d1.5,deletion,0.2,0,1.249999687500078,64
kgw_d1.5,deletion,0.3,0,1.236244735915653,53
kgw_d1.5,deletion,0.4,0,-0.9486829980506085,40
kgw_d1.5,deletion,0.5,0,-0.9486829980506085,40
kgw_d1.5,synonym,0.0,0,3.801314711749832,80
kgw_d1.5,synonym,0.1,0,3.1304944684998617,80
kgw_d1.5,synonym,0.2,0,1.3416404864999407,80
kgw_d1.5,synonym,0.3,0,2.012460729749911,80
kgw_d1.5,deletion,0.0,1,3.4877717080607242,79
kgw_d1.5,deletion,0.1,1,2.3570220483997337,72
kgw_d1.5,deletion,0.2,1,1.4999996250000938,64
kgw_d1.5,deletion,0.3,1,2.3351289456184556,53
kgw_d1.5,deletion,0.4,1,0.9486829980506085,40
kgw_d1.5,deletion,0.5,1,0.9486829980506085,40
kgw_d1.5,synonym,0.0,1,3.354101216249852,80
kgw_d1.5,synonym,0.1,1,2.9068877207498716,80
kgw_d1.5,synonym,0.2,1,2.236067477499901,80
kgw_d1.5,synonym,0.3,1,3.1304944684998617,80
kgw_d1.5,deletion,0.0,2,3.2627541785084193,79
kgw_d1.5,deletion,0.1,2,2.8284264580796807,72
kgw_d1.5,deletion,0.2,2,3.4999991250002185,64
kgw_d1.5,deletion,0.3,2,3.4340131553212583,53
kgw_d1.5,deletion,0.4,2,1.5811383300843476,40
kgw_d1.5,deletion,0.5,2,1.5811383300843476,40
kgw_d1.5,synonym,0.0,2,3.1304944684998617,80
kgw_d1.5,synonym,0.1,2,1.788853981999921,80
kgw_d1.5,synonym,0.2,2,2.6832809729998814,80
kgw_d1.5,synonym,0.3,2,1.1180337387499506,80
kgw_d1.5,deletion,0.0,3,5.062894414926857,79
kgw_d1.5,deletion,0.1,3,4.7140440967994675,72
kgw_d1.5,deletion,0.2,3,3.2499991875002032,64
kgw_d1.5,deletion,0.3,3,2.6098499980441563,53
kgw_d1.5,deletion,0.4,3,0.9486829980506085,40
kgw_d1.5,deletion,0.5,3,0.9486829980506085,40
kgw_d1.5,synonym,0.0,3,5.366561945999763,80
kgw_d1.5,synonym,0.1,3,2.9068877207498716,80
kgw_d1.5,synonym,0.2,3,3.1304944684998617,80
kgw_d1.5,synonym,0.3,3,1.788853981999921,80
kgw_d1.5,deletion,0.0,4,2.81271911940381,79
kgw_d1.5,deletion,0.1,4,2.5927242532397075,72
kgw_d1.5,deletion,0.2,4,2.2499994375001404,64
kgw_d1.5,deletion,0.3,4,0.9615236834899523,53
kgw_d1.5,deletion,0.4,4,0.3162276660168695,40
kgw_d1.5,deletion,0.5,4,0.3162276660168695,40
kgw_d1.5,synonym,0.0,4,2.9068877207498716,80
kgw_d1.5,synonym,0.1,4,1.5652472342499308,80
kgw_d1.5,synonym,0.2,4,1.788853981999921,80
kgw_d1.5,synonym,0.3,4,2.4596742252498913,80
kgw_d1.5,deletion,0.0,5,3.9378067671653336,79
kgw_d1.5,deletion,0.1,5,3.7712352774395743,72
kgw_d1.5,deletion,0.2,5,2.2499994375001404,64
kgw_d1.5,deletion,0.3,5,0.412081578638551,53
kgw_d1.5,deletion,0.4,5,-1.264910664067478,40
kgw_d1.5,deletion,0.5,5,-1.264910664067478,40
kgw_d1.5,synonym,0.0,5,3.801314711749832,80
kgw_d1.5,synonym,0.1,5,2.236067477499901,80
kgw_d1.5,synonym,0.2,5,1.788853981999921,80
kgw_d1.5,synonym,0.3,5,2.6832809729998814,80
kgw_d1.5,deletion,0.0,6,4.1628242967176385,79
kgw_d1.5,deletion,0.1,6,3.2998308677596273,72
kgw_d1.5,deletion,0.2,6,2.749999312500172,64
kgw_d1.5,deletion,0.3,6,1.5109657883413536,53
kgw_d1.5,deletion,0.4,6,0.0,40
kgw_d1.5,deletion,0.5,6,0.0,40
kgw_d1.5,synonym,0.0,6,4.248528207249812,80
kgw_d1.5,synonym,0.1,6,4.6957417027497925,80
kgw_d1.5,synonym,0.2,6,1.788853981999921,80
kgw_d1.5,synonym,0.3,6,2.012460729749911,80
kgw_d1.5,deletion,0.0,7,5.062894414926857,79
kgw_d1.5,deletion,0.1,7,4.949746301639442,72
kgw_d1.5,deletion,0.2,7,4.249998937500266,64
kgw_d1.5,deletion,0.3,7,2.060407893192755,53
kgw_d1.5,deletion,0.4,7,0.3162276660168695,40
kgw_d1.5,deletion,0.5,7,0.3162276660168695,40
kgw_d1.5,synonym,0.0,7,4.6957417027497925,80
kgw_d1.5,synonym,0.1,7,3.1304944684998617,80
kgw_d1.5,synonym,0.2,7,4.024921459499822,80
kgw_d1.5,synonym,0.3,7,2.4596742252498913,80
kgw_d1.5,deletion,0.0,8,5.062894414926857,79
kgw_d1.5,deletion,0.1,8,4.242639687119521,72
kgw_d1.5,deletion,0.2,8,3.4999991250002185,64
kgw_d1.5,deletion,0.3,8,2.060407893192755,53
kgw_d1.5,deletion,0.4,8,-0.3162276660168695,40
kgw_d1.5,deletion,0.5,8,-0.3162276660168695,40
kgw_d1.5,synonym,0.0,8,4.919348450499783,80
kgw_d1.5,synonym,0.1,8,4.472134954999802,80
kgw_d1.5,synonym,0.2,8,2.4596742252498913,80
kgw_d1.5,synonym,0.3,8,3.1304944684998617,80
kgw_d1.5,deletion,0.0,9,3.2627541785084193,79
kgw_d1.5,deletion,0.1,9,3.2998308677596273,72
kgw_d1.5,deletion,0.2,9,2.499999375000156,64
kgw_d1.5,deletion,0.3,9,0.6868026310642517,53
kgw_d1.5,deletion,0.4,9,-1.897365996101217,40
kgw_d1.5,deletion,0.5,9,-1.897365996101217,40
kgw_d1.5,synonym,0.0,9,3.1304944684998617,80
kgw_d1.5,synonym,0.1,9,3.354101216249852,80
kgw_d1.5,synonym,0.2,9,1.788853981999921,80
kgw_d1.5,synonym,0.3,9,1.1180337387499506,80
kgw_d1.5,deletion,0.0,10,4.612859355822248,79
kgw_d1.5,deletion,0.1,10,4.242639687119521,72
kgw_d1.5,deletion,0.2,10,3.2499991875002032,64
kgw_d1.5,deletion,0.3,10,1.236244735915653,53
kgw_d1.5,deletion,0.4,10,-0.632455332033739,40
kgw_d1.5,deletion,0.5,10,-0.632455332033739,40
kgw_d1.5,synonym,0.0,10,4.248528207249812,80
kgw_d1.5,synonym,0.1,10,2.9068877207498716,80
kgw_d1.5,synonym,0.2,10,3.801314711749832,80
kgw_d1.5,synonym,0.3,10,2.4596742252498913,80
kgw_d1.5,deletion,0.0,11,4.837876885374553,79
kgw_d1.5,deletion,0.1,11,3.7712352774395743,72
kgw_d1.5,deletion,0.2,11,3.2499991875002032,64
kgw_d1.5,deletion,0.3,11,3.4340131553212583,53
kgw_d1.5,deletion,0.4,11,0.632455332033739,40
kgw_d1.5,deletion,0.5,11,0.632455332033739,40
kgw_d1.5,synonym,0.0,11,4.472134954999802,80
kgw_d1.5,synonym,0.1,11,3.801314711749832,80
