method,fpr,tpr,roc_threshold,auc
kgw_d1.5,0.01,0.95,2.236067477499901,0.999
kgw_d1.5,0.01,0.98,2.012460729749911,0.999
kgw_d1.5,0.03,0.98,1.9629904619114986,0.999
kgw_d1.5,0.03,1.0,1.788853981999921,0.999
kgw_d1.5,0.07,1.0,1.5215345573853973,0.999
kgw_d1.5,0.09,1.0,1.5011103532264403,0.999
kgw_d1.5,0.24,1.0,0.8017835114516161,0.999
kgw_d1.5,0.28,1.0,0.6625890101076481,0.999
kgw_d1.5,0.35,1.0,0.46499044686719415,0.999
kgw_d1.5,0.39,1.0,0.43133099979051787,0.999
kgw_d1.5,0.46,1.0,0.24618292135261977,0.999
kgw_d1.5,0.48,1.0,0.22360674774999012,0.999
kgw_d1.5,0.51,1.0,0.20628420669857594,0.999
kgw_d1.5,0.53,1.0,0.10721123049527866,0.999
kgw_d1.5,0.59,1.0,-0.22941568123899486,0.999
kgw_d1.5,0.61,1.0,-0.2357022048399734,0.999
kgw_d1.5,0.76,1.0,-0.6741996806451093,0.999
kgw_d1.5,0.8,1.0,-0.8728713704678206,0.999
kgw_d1.5,0.84,1.0,-1.1043150168460802,0.999
kgw_d1.5,0.86,1.0,-1.1180337387499506,0.999
kgw_d1.5,0.91,1.0,-1.4320776479078037,0.999
kgw_d1.5,0.93,1.0,-1.4444441234568615,0.999
kgw_d1.5,1.0,1.0,-3.2627541785084193,0.999
kgw_d2.0,0.0,0.0,inf,1.0
kgw_d2.0,0.0,0.01,7.379022675749674,1.0
kgw_d2.0,0.0,0.03,6.931809180249694,1.0
kgw_d2.0,0.0,0.06,6.708202432499704,1.0
kgw_d2.0,0.0,0.12,6.4845956847497135,1.0
kgw_d2.0,0.0,0.18,6.037382189249733,1.0
kgw_d2.0,0.0,0.27,5.813775441499743,1.0
kgw_d2.0,0.0,0.38,5.590168693749753,1.0
kgw_d2.0,0.0,0.46,5.366561945999763,1.0
kgw_d2.0,0.0,0.58,5.142955198249773,1.0
kgw_d2.0,0.0,0.68,4.919348450499783,1.0
kgw_d2.0,0.0,0.7,4.6957417027497925,1.0
kgw_d2.0,0.0,0.75,4.472134954999802,1.0
kgw_d2.0,0.0,0.86,4.248528207249812,1.0
kgw_d2.0,0.0,0.93,4.024921459499822,1.0
kgw_d2.0,0.0,0.95,3.801314711749832,1.0
kgw_d2.0,0.0,0.98,3.577707963999842,1.0
kgw_d2.0,0.0,1.0,3.354101216249852,1.0
kgw_d2.0,0.07,1.0,1.5215345573853973,1.0
kgw_d2.0,0.09,1.0,1.5011103532264403,1.0
kgw_d2.0,0.24,1.0,0.8017835114516161,1.0
kgw_d2.0,0.28,1.0,0.6625890101076481,1.0
kgw_d2.0,0.35,1.0,0.46499044686719415,1.0
kgw_d2.0,0.39,1.0,0.43133099979051787,1.0
kgw_d2.0,0.46,1.0,0.24618292135261977,1.0
kgw_d2.0,0.48,1.0,0.22360674774999012,1.0
kgw_d2.0,0.51,1.0,0.20628420669857594,1.0
kgw_d2.0,0.53,1.0,0.10721123049527866,1.0
kgw_d2.0,0.59,1.0,-0.22941568123899486,1.0
kgw_d2.0,0.61,1.0,-0.2357022048399734,1.0
kgw_d2.0,0.76,1.0,-0.6741996806451093,1.0
kgw_d2.0,0.8,1.0,-0.8728713704678206,1.0
kgw_d2.0,0.84,1.0,-1.1043150168460802,1.0
kgw_d2.0,0.86,1.0,-1.1180337387499506,1.0
kgw_d2.0,0.91,1.0,-1.4320776479078037,1.0
kgw_d2.0,0.93,1.0,-1.4444441234568615,1.0
kgw_d2.0,1.0,1.0,-3.2627541785084193,1.0
kgw_d2.5,0.0,0.0,inf,1.0
kgw_d2.5,0.0,0.01,7.826236171249654,1.0
kgw_d2.5,0.0,0.05,7.379022675749674,1.0
kgw_d2.5,0.0,0.12,7.155415927999684,1.0
kgw_d2.5,0.0,0.23,6.931809180249694,1.0
kgw_d2.5,0.0,0.29,6.708202432499704,1.0
kgw_d2.5,0.0,0.41,6.4845956847497135,1.0
kgw_d2.5,0.0,0.45,6.260988936999723,1.0
kgw_d2.5,0.0,0.58,6.037382189249733,1.0
kgw_d2.5,0.0,0.66,5.813775441499743,1.0
kgw_d2.5,0.0,0.76,5.366561945999763,1.0
kgw_d2.5,0.0,0.83,5.142955198249773,1.0
kgw_d2.5,0.0,0.84,4.919348450499783,1.0
kgw_d2.5,0.0,0.87,4.6957417027497925,1.0
kgw_d2.5,0.0,0.93,4.472134954999802,1.0
kgw_d2.5,0.0,0.95,4.248528207249812,1.0
kgw_d2.5,0.0,0.96,4.024921459499822,1.0
kgw_d2.5,0.0,0.98,3.801314711749832,1.0
kgw_d2.5,0.0,1.0,2.4596742252498918,1.0
kgw_d2.5,0.07,1.0,1.5215345573853973,1.0
kgw_d2.5,0.09,1.0,1.5011103532264403,1.0
kgw_d2.5,0.24,1.0,0.8017835114516161,1.0
kgw_d2.5,0.28,1.0,0.6625890101076481,1.0
kgw_d2.5,0.35,1.0,0.46499044686719415,1.0
kgw_d2.5,0.39,1.0,0.43133099979051787,1.0
kgw_d2.5,0.46,1.0,0.24618292135261977,1.0
kgw_d2.5,0.48,1.0,0.22360674774999012,1.0
kgw_d2.5,0.51,1.0,0.20628420669857594,1.0
kgw_d2.5,0.53,1.0,0.10721123049527866,1.0
kgw_d2.5,0.59,1.0,-0.22941568123899486,1.0
kgw_d2.5,0.61,1.0,-0.2357022048399734,1.0
