prompt_id,method,family,z_score,ppl,new_tokens,seconds
4,kgw_d1.0,kgw,3.577707963999842,6.013818264007568,80,1.814965114928782
5,kgw_d1.0,kgw,2.4596742252498913,4.662489414215088,80,1.7473969599232078
6,kgw_d1.0,kgw,2.6832809729998814,5.845736026763916,80,1.8521515494212508
7,kgw_d1.0,kgw,4.024921459499822,6.198231220245361,80,1.8452869476750493
8,kgw_d1.0,kgw,2.236067477499901,18.709070205688477,80,1.8086348492652178
9,kgw_d1.0,kgw,1.788853981999921,5.517471790313721,80,1.805329805240035
10,kgw_d1.0,kgw,1.3416404864999407,4.650597095489502,80,1.7633983278647065
11,kgw_d1.0,kgw,0.6708202432499704,7.34970235824585,80,1.7986845411360264
12,kgw_d1.0,kgw,1.5652472342499308,5.467144012451172,80,1.791505103930831
13,kgw_d1.0,kgw,3.354101216249852,11.938278198242188,80,1.8014256795868278
14,kgw_d1.0,kgw,5.142955198249773,6.352271556854248,80,1.8514521410688758
15,kgw_d1.0,kgw,2.9068877207498716,13.807181358337402,80,1.8274813583120704
16,kgw_d1.0,kgw,3.801314711749832,9.067291259765625,80,1.753644254989922
17,kgw_d1.0,kgw,2.6832809729998814,6.472196102142334,80,1.8351121759042144
18,kgw_d1.0,kgw,3.354101216249852,11.070503234863281,80,1.7468631193041801
19,kgw_d1.0,kgw,3.801314711749832,8.298919677734375,80,1.803780186921358
20,kgw_d1.0,kgw,3.1304944684998617,9.662543296813965,80,1.814458911307156
21,kgw_d1.0,kgw,2.236067477499901,9.725677490234375,80,1.8130007730796933
22,kgw_d1.0,kgw,2.4596742252498913,9.193299293518066,80,1.809713989496231
23,kgw_d1.0,kgw,2.9068877207498716,9.691727638244629,80,1.8274195780977607
24,kgw_d1.0,kgw,4.472134954999802,6.988619804382324,80,1.8479386446997523
25,kgw_d1.0,kgw,2.012460729749911,9.13872241973877,80,1.8328290162608027
26,kgw_d1.0,kgw,4.248528207249812,6.729471206665039,80,1.8621505973860621
27,kgw_d1.0,kgw,1.5652472342499308,6.861227035522461,80,1.8642417071387172
28,kgw_d1.0,kgw,3.1304944684998617,9.910118103027344,80,1.9660961823537946
29,kgw_d1.0,kgw,3.577707963999842,11.16563606262207,80,1.8048194414004683
30,kgw_d1.0,kgw,2.236067477499901,9.380279541015625,80,1.8610787987709045
31,kgw_d1.0,kgw,0.6708202432499704,7.912683010101318,80,1.8591631557792425
32,kgw_d1.0,kgw,2.9068877207498716,8.548982620239258,80,1.8283178359270096
33,kgw_d1.0,kgw,3.801314711749832,9.113057136535645,80,1.822658653371036
34,kgw_d1.0,kgw,2.6832809729998814,22.499576568603516,80,1.7958496091887355
35,kgw_d1.0,kgw,2.012460729749911,6.030730724334717,80,1.775615413673222
36,kgw_d1.0,kgw,4.472134954999802,12.705011367797852,80,1.7979522617533803
37,kgw_d1.0,kgw,3.801314711749832,8.150270462036133,80,1.824493408203125
38,kgw_d1.0,kgw,3.354101216249852,10.594048500061035,80,1.8217855766415596
39,kgw_d1.0,kgw,2.012460729749911,9.097609519958496,80,1.8517390172928572
40,kgw_d1.0,kgw,2.236067477499901,17.009418487548828,80,1.838868505321443
41,kgw_d1.0,kgw,2.9068877207498716,10.453784942626953,80,1.855125842615962
42,kgw_d1.0,kgw,2.012460729749911,12.415766716003418,80,1.860599067993462
43,kgw_d1.0,kgw,1.788853981999921,9.881858825683594,80,1.8613848658278584
44,kgw_d1.0,kgw,4.6957417027497925,16.40669822692871,80,1.8289692187681794
45,kgw_d1.0,kgw,2.012460729749911,8.702792167663574,80,1.8742168536409736
46,kgw_d1.0,kgw,2.4596742252498913,17.665023803710938,80,1.8561152406036854
47,kgw_d1.0,kgw,2.9068877207498716,11.78764820098877,80,1.9078201930969954
48,kgw_d1.0,kgw,2.4596742252498913,9.919647216796875,80,1.8885411564260721
49,kgw_d1.0,kgw,2.6832809729998814,4.949492931365967,80,1.7456246381625533
50,kgw_d1.0,kgw,3.354101216249852,11.036725997924805,80,1.7735616080462933
51,kgw_d1.0,kgw,2.4596742252498913,9.116459846496582,80,1.8180931750684977
52,kgw_d1.0,kgw,3.1304944684998617,9.6233491897583,80,1.784108187071979
53,kgw_d1.0,kgw,4.919348450499783,14.057496070861816,80,1.8514670627191663
54,kgw_d1.0,kgw,2.4596742252498913,14.252589225769043,80,1.837597788311541
55,kgw_d1.0,kgw,2.236067477499901,13.134849548339844,80,1.8028383562341332
56,kgw_d1.0,kgw,3.1304944684998617,11.003993034362793,80,1.7844390077516437
57,kgw_d1.0,kgw,1.3416404864999407,9.943620681762695,80,1.8465548492968082
58,kgw_d1.0,kgw,2.236067477499901,8.74543571472168,80,1.813911127857864
59,kgw_d1.0,kgw,2.9068877207498716,7.616072654724121,80,1.829958031885326
60,kgw_d1.0,kgw,2.9068877207498716,11.028766632080078,80,1.827544596977532
61,kgw_d1.0,kgw,3.801314711749832,9.98509407043457,80,1.8466573460027575
62,kgw_d1.0,kgw,1.3416404864999407,6.924463272094727,80,1.8344741938635707
63,kgw_d1.0,kgw,2.9068877207498716,6.817117214202881,80,1.792831325903535
64,kgw_d1.0,kgw,3.354101216249852,8.635805130004883,80,1.8116534408181906
65,kgw_d1.0,kgw,2.012460729749911,9.478730201721191,80,1.7819858668372035
66,kgw_d1.0,kgw,3.1304944684998617,8.863540649414062,80,1.806655891239643
67,kgw_d1.0,kgw,3.1304944684998617,8.65581226348877,80,1.77634999435395
68,kgw_d1.0,kgw,4.024921459499822,9.341245651245117,80,1.771290997043252
69,kgw_d1.0,kgw,2.9068877207498716,8.581622123718262,80,1.808710272423923
70,kgw_d1.0,kgw,4.919348450499783,11.505520820617676,80,1.8635424701496959
71,kgw_d1.0,kgw,3.354101216249852,11.332074165344238,80,1.8692153953015804
72,kgw_d1.0,kgw,1.1180337387499506,7.440955638885498,80,1.8371524345129728
73,kgw_d1.0,kgw,2.4596742252498913,13.693126678466797,80,1.8074471345171332
74,kgw_d1.0,kgw,2.4596742252498913,6.501420974731445,80,1.7414203323423862
