method,family,threshold,accuracy,precision,recall,f1,false_positive_rate,auc
unb_a2.5,unbiased,4.5,0.525,1.0,0.05,0.09523809523809523,0.0,0.9549
unb_a2.5,unbiased,5.0,0.505,1.0,0.01,0.019801980198019802,0.0,0.9549
unb_a3.0,unbiased,0.5,0.805,0.7226277372262774,0.99,0.8354430379746836,0.38,0.96995
unb_a3.0,unbiased,1.0,0.875,0.8205128205128205,0.96,0.8847926267281107,0.21,0.96995
unb_a3.0,unbiased,1.5,0.925,0.9207920792079208,0.93,0.9253731343283582,0.08,0.96995
unb_a3.0,unbiased,2.0,0.905,0.9550561797752809,0.85,0.8994708994708994,0.04,0.96995
unb_a3.0,unbiased,2.5,0.83,0.9852941176470589,0.67,0.7976190476190477,0.01,0.96995
unb_a3.0,unbiased,3.0,0.755,0.9811320754716981,0.52,0.6797385620915033,0.01,0.96995
unb_a3.0,unbiased,3.5,0.67,1.0,0.34,0.5074626865671642,0.0,0.96995
unb_a3.0,unbiased,4.0,0.6,1.0,0.2,0.3333333333333333,0.0,0.96995
unb_a3.0,unbiased,4.5,0.525,1.0,0.05,0.09523809523809523,0.0,0.96995
unb_a3.0,unbiased,5.0,0.515,1.0,0.03,0.05825242718446602,0.0,0.96995
unb_a3.5,unbiased,0.5,0.81,0.7246376811594203,1.0,0.8403361344537815,0.38,0.9939
unb_a3.5,unbiased,1.0,0.895,0.8264462809917356,1.0,0.9049773755656109,0.21,0.9939
unb_a3.5,unbiased,1.5,0.96,0.9259259259259259,1.0,0.9615384615384616,0.08,0.9939
unb_a3.5,unbiased,2.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.04,0.9939
unb_a3.5,unbiased,2.5,0.925,0.9885057471264368,0.86,0.9197860962566845,0.01,0.9939
unb_a3.5,unbiased,3.0,0.86,0.9864864864864865,0.73,0.8390804597701149,0.01,0.9939
unb_a3.5,unbiased,3.5,0.79,1.0,0.58,0.7341772151898734,0.0,0.9939
unb_a3.5,unbiased,4.0,0.7,1.0,0.4,0.5714285714285714,0.0,0.9939
unb_a3.5,unbiased,4.5,0.62,1.0,0.24,0.3870967741935484,0.0,0.9939
unb_a3.5,unbiased,5.0,0.55,1.0,0.1,0.18181818181818182,0.0,0.9939
